Date,Open,High,Low,Close,Adj Close,Volume
2020-04-02,5.309000,5.365000,5.037000,5.150000,4.482981,14425000
2020-04-03,5.180000,5.250000,4.848000,4.848000,4.220095,13053000
2020-04-06,5.126000,5.451000,5.125000,5.319000,4.630092,12868000
2020-04-07,5.622000,5.830000,5.452000,5.452000,4.745866,14584000
2020-04-08,5.500000,5.626000,5.282000,5.451000,4.744996,16385000
2020-04-09,5.480000,5.699000,5.434000,5.623000,4.894719,16061000
2020-04-13,5.620000,5.739000,5.451000,5.650000,4.918222,11935000
2020-04-14,5.701000,5.917000,5.687000,5.845000,5.087965,8201000
2020-04-15,5.748000,5.985000,5.706000,5.724000,4.982637,14505000
2020-04-16,5.800000,5.865000,5.631000,5.657000,4.924315,13246000
2020-04-17,5.798000,5.812000,5.656000,5.663000,4.929538,11389000
2020-04-20,5.577000,5.797000,5.528000,5.682000,4.946077,11838000
2020-04-22,5.645000,6.051000,5.635000,5.904000,5.139324,15058000
2020-04-23,5.940000,6.054000,5.747000,5.792000,5.041830,20417000
2020-04-24,5.749000,5.778000,5.236000,5.287000,4.602237,25895000
2020-04-27,5.377000,5.576000,5.372000,5.411000,4.710176,12685000
2020-04-28,5.590000,5.798000,5.549000,5.566000,4.845101,13269000
2020-04-29,5.630000,5.706000,5.553000,5.571000,4.849454,8226000
2020-04-30,5.499000,5.629000,5.440000,5.440000,4.735421,20788000
2020-05-04,5.421000,5.588000,5.325000,5.479000,4.769370,15791000
2020-05-05,5.600000,5.771000,5.546000,5.618000,4.890367,10373000
2020-05-06,5.647000,5.713000,5.485000,5.495000,4.783297,10306000
2020-05-07,5.599000,5.599000,5.288000,5.295000,4.609200,16837000
2020-05-08,5.412000,5.552000,5.365000,5.450000,4.744125,14119000
2020-05-11,5.439000,5.578000,5.317000,5.539000,4.821598,17357000
2020-05-12,5.553000,5.861000,5.429000,5.429000,4.725845,26248000
2020-05-13,5.545000,5.686000,5.416000,5.416000,4.714529,37647000
2020-05-14,5.386000,5.612000,5.226000,5.570000,4.848583,18268000
2020-05-15,5.573000,5.755000,5.514000,5.625000,4.896460,21801000
2020-05-18,5.775000,5.939000,5.689000,5.873000,5.112339,21359000
2020-05-19,5.900000,6.005000,5.760000,5.766000,5.019197,15466000
2020-05-20,5.830000,5.918000,5.672000,5.672000,4.937372,13557000
2020-05-21,5.697000,6.015000,5.675000,5.999000,5.222020,23319000
2020-05-22,5.970000,6.015000,5.846000,5.917000,5.150640,12462000
2020-05-25,6.080000,6.295000,6.035000,6.253000,5.443122,11299000
2020-05-26,6.360000,6.420000,6.078000,6.170000,5.370872,15530000
